year,month,day,hour,season,PM_China,PM_US
2013,1,7,23,4,NA,333
2013,1,8,0,4,NA,357
2013,1,8,1,4,NA,390
2013,1,8,2,4,NA,326
2013,1,8,3,4,NA,402
2013,1,8,4,4,NA,365
2013,1,8,5,4,NA,257
2013,1,8,6,4,NA,135
2013,1,8,7,4,NA,159
2013,1,8,8,4,NA,170
2013,1,8,9,4,NA,36
2013,1,8,10,4,NA,19
2013,1,8,11,4,NA,20
2013,1,8,12,4,NA,18
2013,1,8,13,4,NA,19
2013,1,8,14,4,NA,14
2013,1,8,15,4,NA,11
2013,1,8,16,4,NA,16
2013,1,8,17,4,NA,19
2013,1,8,18,4,NA,18
2013,1,8,19,4,NA,21
2013,1,8,20,4,NA,21
2013,1,8,21,4,NA,17
2013,1,8,22,4,NA,19
2013,1,8,23,4,NA,23
2013,1,9,0,4,NA,29
2013,1,9,1,4,NA,22
2013,1,9,2,4,NA,18
2013,1,9,3,4,NA,24
2013,1,9,4,4,NA,22
2013,1,9,5,4,NA,17
2013,1,9,6,4,NA,27
2013,1,9,7,4,NA,44
2013,1,9,8,4,NA,46
2013,1,9,9,4,NA,35
2013,1,9,10,4,NA,48
2013,1,9,11,4,NA,59
2013,1,9,12,4,NA,69
2013,1,9,13,4,NA,72
2013,1,9,14,4,NA,59
2013,1,9,15,4,NA,57
2013,1,9,16,4,NA,67
2013,1,9,17,4,NA,75
2013,1,9,18,4,NA,15
2013,1,9,19,4,NA,38
2013,1,9,20,4,NA,41
2013,1,9,21,4,NA,63
2013,1,9,22,4,NA,234
2013,1,9,23,4,NA,305
2013,1,10,0,4,NA,304
2013,1,10,1,4,NA,303
2013,1,10,2,4,NA,221
2013,1,10,3,4,NA,179
2013,1,10,4,4,NA,162
2013,1,10,5,4,NA,111
2013,1,10,6,4,NA,114
2013,1,10,7,4,NA,81
2013,1,10,8,4,NA,56
2013,1,10,9,4,NA,63
2013,1,10,10,4,NA,79
2013,1,10,11,4,NA,84
2013,1,10,12,4,NA,97
2013,1,10,13,4,NA,111
2013,1,10,14,4,NA,167
2013,1,10,15,4,NA,279
2013,1,10,16,4,NA,395
2013,1,10,17,4,NA,449
2013,1,10,18,4,NA,389
2013,1,10,19,4,NA,421
2013,1,10,20,4,NA,486
2013,1,10,21,4,NA,486
2013,1,10,22,4,NA,488
2013,1,10,23,4,NA,434
2013,1,11,0,4,NA,425
2013,1,11,1,4,NA,418
2013,1,11,2,4,NA,416
2013,1,11,3,4,NA,402
2013,1,11,4,4,NA,429
2013,1,11,5,4,NA,408
2013,1,11,6,4,NA,456
2013,1,11,7,4,NA,434
2013,1,11,8,4,NA,391
2013,1,11,9,4,NA,377
2013,1,11,10,4,NA,377
2013,1,11,11,4,NA,361
2013,1,11,12,4,NA,343
2013,1,11,13,4,NA,356
2013,1,11,14,4,NA,353
2013,1,11,15,4,NA,340
2013,1,11,16,4,NA,146
2013,1,11,17,4,NA,216
2013,1,11,18,4,NA,291
2013,1,11,19,4,NA,325
2013,1,11,20,4,NA,292
2013,1,11,21,4,NA,371
2013,1,11,22,4,NA,369
2013,1,11,23,4,NA,374
2013,1,12,0,4,NA,391
2013,1,12,1,4,NA,442
2013,1,12,2,4,NA,425
2013,1,12,3,4,NA,442
2013,1,12,4,4,NA,287
2013,1,12,5,4,NA,275
2013,1,12,6,4,NA,174
2013,1,12,7,4,NA,278
2013,1,12,8,4,NA,NA
2013,1,12,9,4,NA,319
2013,1,12,10,4,NA,383
2013,1,12,11,4,NA,472
2013,1,12,12,4,NA,458
2013,1,12,13,4,NA,529
2013,1,12,14,4,NA,802
2013,1,12,15,4,NA,845
2013,1,12,16,4,NA,810
2013,1,12,17,4,NA,776
2013,1,12,18,4,NA,824
2013,1,12,19,4,NA,886
2013,1,12,20,4,NA,852
2013,1,12,21,4,NA,858
2013,1,12,22,4,NA,805
2013,1,12,23,4,NA,744
2013,1,13,0,4,NA,731
2013,1,13,1,4,NA,722
2013,1,13,2,4,NA,684
2013,1,13,3,4,NA,651
2013,1,13,4,4,NA,673
2013,1,13,5,4,NA,584
2013,1,13,6,4,NA,475
2013,1,13,7,4,NA,341
2013,1,13,8,4,NA,288
2013,1,13,9,4,NA,266
2013,1,13,10,4,NA,236
2013,1,13,11,4,NA,295
2013,1,13,12,4,NA,419
2013,1,13,13,4,NA,NA
2013,1,13,14,4,NA,323
2013,1,13,15,4,NA,326
2013,1,13,16,4,NA,325
2013,1,13,17,4,NA,334
2013,1,13,18,4,NA,343
2013,1,13,19,4,NA,333
2013,1,13,20,4,NA,311
2013,1,13,21,4,NA,304
2013,1,13,22,4,NA,301
2013,1,13,23,4,NA,309
2013,1,14,0,4,NA,298
2013,1,14,1,4,NA,362
2013,1,14,2,4,NA,523
2013,1,14,3,4,NA,468
2013,1,14,4,4,NA,447
2013,1,14,5,4,NA,328
2013,1,14,6,4,NA,308
2013,1,14,7,4,NA,358
2013,1,14,8,4,NA,296
2013,1,14,9,4,NA,257
2013,1,14,10,4,NA,291
2013,1,14,11,4,NA,335
2013,1,14,12,4,NA,345
2013,1,14,13,4,NA,307
2013,1,14,14,4,NA,271
2013,1,14,15,4,NA,267
2013,1,14,16,4,NA,277
2013,1,14,17,4,NA,278
2013,1,14,18,4,NA,285
2013,1,14,19,4,NA,282
2013,1,14,20,4,NA,217
2013,1,14,21,4,NA,169
2013,1,14,22,4,NA,68
2013,1,14,23,4,NA,151
2013,1,15,0,4,NA,66
2013,1,15,1,4,NA,58
2013,1,15,2,4,NA,61
2013,1,15,3,4,NA,61
2013,1,15,4,4,NA,71
2013,1,15,5,4,NA,79
2013,1,15,6,4,NA,74
2013,1,15,7,4,NA,71
2013,1,15,8,4,NA,80
2013,1,15,9,4,NA,79
2013,1,15,10,4,NA,69
2013,1,15,11,4,NA,90
2013,1,15,12,4,NA,109
2013,1,15,13,4,NA,120
2013,1,15,14,4,NA,NA
2013,1,15,15,4,NA,132
2013,1,15,16,4,NA,134
2013,1,15,17,4,NA,155
2013,1,15,18,4,NA,166
2013,1,15,19,4,NA,183
2013,1,15,20,4,NA,181
2013,1,15,21,4,NA,201
2013,1,15,22,4,NA,227
2013,1,15,23,4,NA,177
2013,1,16,0,4,NA,189
2013,1,16,1,4,NA,NA
2013,1,16,2,4,NA,76
2013,1,16,3,4,NA,46
2013,1,16,4,4,NA,38
2013,1,16,5,4,NA,35
2013,1,16,6,4,NA,25
2013,1,16,7,4,NA,82
2013,1,16,8,4,NA,245
2013,1,16,9,4,NA,269
2013,1,16,10,4,NA,240
2013,1,16,11,4,NA,194
2013,1,16,12,4,NA,169
2013,1,16,13,4,NA,53
2013,1,16,14,4,NA,39
2013,1,16,15,4,NA,45
2013,1,16,16,4,NA,61
2013,1,16,17,4,NA,227
2013,1,16,18,4,NA,219
2013,1,16,19,4,NA,193
2013,1,16,20,4,NA,47
2013,1,16,21,4,NA,26
2013,1,16,22,4,NA,28
2013,1,16,23,4,NA,30
2013,1,17,0,4,NA,25
2013,1,17,1,4,NA,24
2013,1,17,2,4,NA,26
2013,1,17,3,4,NA,19
2013,1,17,4,4,NA,35
2013,1,17,5,4,NA,37
2013,1,17,6,4,NA,34
2013,1,17,7,4,NA,33
2013,1,17,8,4,NA,33
2013,1,17,9,4,NA,34
2013,1,17,10,4,NA,38
2013,1,17,11,4,NA,38
2013,1,17,12,4,NA,41
2013,1,17,13,4,NA,37
2013,1,17,14,4,NA,45
2013,1,17,15,4,NA,71
2013,1,17,16,4,NA,92
2013,1,17,17,4,NA,78
2013,1,17,18,4,NA,86
2013,1,17,19,4,NA,107
2013,1,17,20,4,NA,167
2013,1,17,21,4,NA,208
2013,1,17,22,4,NA,226
2013,1,17,23,4,NA,285
2013,1,18,0,4,NA,283
2013,1,18,1,4,NA,214
2013,1,18,2,4,NA,193
2013,1,18,3,4,NA,231
2013,1,18,4,4,NA,213
2013,1,18,5,4,NA,180
2013,1,18,6,4,NA,149
2013,1,18,7,4,NA,86
2013,1,18,8,4,NA,82
2013,1,18,9,4,NA,87
2013,1,18,10,4,NA,94
2013,1,18,11,4,NA,122
2013,1,18,12,4,NA,138
2013,1,18,13,4,NA,138
2013,1,18,14,4,NA,176
2013,1,18,15,4,NA,450
2013,1,18,16,4,NA,372
2013,1,18,17,4,NA,358
2013,1,18,18,4,NA,448
2013,1,18,19,4,NA,485
2013,1,18,20,4,NA,557
2013,1,18,21,4,NA,573
2013,1,18,22,4,NA,603
2013,1,18,23,4,NA,412
2013,1,19,0,4,NA,300
2013,1,19,1,4,NA,312
2013,1,19,2,4,NA,253
2013,1,19,3,4,NA,285
2013,1,19,4,4,NA,277
2013,1,19,5,4,NA,236
2013,1,19,6,4,NA,157
2013,1,19,7,4,NA,237
2013,1,19,8,4,NA,290
2013,1,19,9,4,NA,371
2013,1,19,10,4,NA,353
2013,1,19,11,4,NA,227
2013,1,19,12,4,NA,201
2013,1,19,13,4,NA,98
2013,1,19,14,4,NA,76
2013,1,19,15,4,NA,71
2013,1,19,16,4,NA,73
2013,1,19,17,4,NA,85
2013,1,19,18,4,NA,100
2013,1,19,19,4,NA,115
2013,1,19,20,4,NA,128
2013,1,19,21,4,NA,141
2013,1,19,22,4,NA,72
2013,1,19,23,4,NA,88
2013,1,20,0,4,NA,91
2013,1,20,1,4,NA,69
2013,1,20,2,4,NA,59
2013,1,20,3,4,NA,53
2013,1,20,4,4,NA,57
2013,1,20,5,4,NA,64
2013,1,20,6,4,NA,78
2013,1,20,7,4,NA,87
2013,1,20,8,4,NA,88
2013,1,20,9,4,NA,80
2013,1,20,10,4,NA,84
2013,1,20,11,4,NA,100
2013,1,20,12,4,NA,129
2013,1,20,13,4,NA,128
2013,1,20,14,4,NA,114
2013,1,20,15,4,NA,110
2013,1,20,16,4,NA,122
2013,1,20,17,4,NA,142
2013,1,20,18,4,NA,150
2013,1,20,19,4,NA,138
2013,1,20,20,4,NA,156
2013,1,20,21,4,NA,145
2013,1,20,22,4,NA,169
2013,1,20,23,4,NA,161
2013,1,21,0,4,NA,160
2013,1,21,1,4,NA,156
2013,1,21,2,4,NA,198
2013,1,21,3,4,NA,188
2013,1,21,4,4,NA,176
2013,1,21,5,4,NA,187
2013,1,21,6,4,NA,154
2013,1,21,7,4,NA,179
2013,1,21,8,4,NA,198
2013,1,21,9,4,NA,159
2013,1,21,10,4,NA,164
2013,1,21,11,4,NA,156
2013,1,21,12,4,NA,144
2013,1,21,13,4,NA,104
2013,1,21,14,4,NA,88
2013,1,21,15,4,NA,72
2013,1,21,16,4,NA,93
2013,1,21,17,4,NA,98
2013,1,21,18,4,NA,114
2013,1,21,19,4,NA,184
2013,1,21,20,4,NA,162
2013,1,21,21,4,NA,179
2013,1,21,22,4,NA,131
2013,1,21,23,4,NA,104
2013,1,22,0,4,NA,84
2013,1,22,1,4,NA,88
2013,1,22,2,4,NA,60
2013,1,22,3,4,NA,45
2013,1,22,4,4,NA,38
2013,1,22,5,4,NA,37
2013,1,22,6,4,NA,40
2013,1,22,7,4,NA,52
2013,1,22,8,4,NA,46
2013,1,22,9,4,NA,48
2013,1,22,10,4,NA,55
2013,1,22,11,4,NA,46
2013,1,22,12,4,NA,111
2013,1,22,13,4,NA,127
2013,1,22,14,4,NA,326
2013,1,22,15,4,NA,382
2013,1,22,16,4,NA,352
2013,1,22,17,4,NA,366
2013,1,22,18,4,NA,396
2013,1,22,19,4,NA,398
2013,1,22,20,4,NA,374
2013,1,22,21,4,NA,412
2013,1,22,22,4,NA,437
2013,1,22,23,4,NA,453
2013,1,23,0,4,NA,439
2013,1,23,1,4,NA,439
2013,1,23,2,4,NA,437
2013,1,23,3,4,NA,411
2013,1,23,4,4,NA,424
2013,1,23,5,4,NA,417
2013,1,23,6,4,NA,422
2013,1,23,7,4,NA,394
2013,1,23,8,4,NA,388
2013,1,23,9,4,NA,401
2013,1,23,10,4,NA,402
2013,1,23,11,4,NA,396
2013,1,23,12,4,NA,395
2013,1,23,13,4,NA,392
2013,1,23,14,4,NA,359
2013,1,23,15,4,NA,301
2013,1,23,16,4,NA,273
2013,1,23,17,4,NA,297
2013,1,23,18,4,NA,321
2013,1,23,19,4,NA,336
2013,1,23,20,4,NA,399
2013,1,23,21,4,NA,378
2013,1,23,22,4,NA,398
2013,1,23,23,4,NA,255
2013,1,24,0,4,NA,29
2013,1,24,1,4,NA,17
2013,1,24,2,4,NA,18
2013,1,24,3,4,NA,11
2013,1,24,4,4,NA,16
2013,1,24,5,4,NA,12
2013,1,24,6,4,NA,13
2013,1,24,7,4,NA,14
2013,1,24,8,4,NA,20
2013,1,24,9,4,NA,29
2013,1,24,10,4,NA,32
2013,1,24,11,4,NA,12
2013,1,24,12,4,NA,16
2013,1,24,13,4,NA,17
2013,1,24,14,4,NA,13
2013,1,24,15,4,NA,16
2013,1,24,16,4,NA,14
2013,1,24,17,4,NA,10
2013,1,24,18,4,NA,23
2013,1,24,19,4,NA,30
2013,1,24,20,4,NA,27
2013,1,24,21,4,NA,23
2013,1,24,22,4,NA,27
2013,1,24,23,4,NA,27
2013,1,25,0,4,NA,31
2013,1,25,1,4,NA,47
2013,1,25,2,4,NA,46
2013,1,25,3,4,NA,42
2013,1,25,4,4,NA,47
2013,1,25,5,4,NA,64
2013,1,25,6,4,NA,68
2013,1,25,7,4,NA,48
2013,1,25,8,4,NA,40
2013,1,25,9,4,NA,50
2013,1,25,10,4,NA,55
2013,1,25,11,4,NA,53
2013,1,25,12,4,NA,65
2013,1,25,13,4,NA,71
2013,1,25,14,4,NA,84
2013,1,25,15,4,NA,78
2013,1,25,16,4,NA,73
2013,1,25,17,4,NA,84
2013,1,25,18,4,NA,109
2013,1,25,19,4,NA,130
2013,1,25,20,4,NA,113
2013,1,25,21,4,NA,118
2013,1,25,22,4,NA,124
2013,1,25,23,4,NA,135
2013,1,26,0,4,NA,174
2013,1,26,1,4,NA,161
2013,1,26,2,4,NA,186
2013,1,26,3,4,NA,189
2013,1,26,4,4,NA,169
2013,1,26,5,4,NA,155
2013,1,26,6,4,NA,138
2013,1,26,7,4,NA,126
2013,1,26,8,4,NA,124
2013,1,26,9,4,NA,96
2013,1,26,10,4,NA,94
2013,1,26,11,4,NA,122
2013,1,26,12,4,NA,156
2013,1,26,13,4,NA,198
2013,1,26,14,4,NA,162
2013,1,26,15,4,NA,162
2013,1,26,16,4,NA,172
2013,1,26,17,4,NA,195
2013,1,26,18,4,NA,177
2013,1,26,19,4,NA,174
2013,1,26,20,4,NA,165
2013,1,26,21,4,NA,170
2013,1,26,22,4,NA,179
2013,1,26,23,4,NA,229
2013,1,27,0,4,NA,307
2013,1,27,1,4,NA,347
2013,1,27,2,4,NA,318
2013,1,27,3,4,NA,293
2013,1,27,4,4,NA,258
2013,1,27,5,4,NA,284
2013,1,27,6,4,NA,312
2013,1,27,7,4,NA,310
2013,1,27,8,4,NA,261
2013,1,27,9,4,NA,387
2013,1,27,10,4,NA,340
2013,1,27,11,4,NA,306
2013,1,27,12,4,NA,321
2013,1,27,13,4,NA,322
2013,1,27,14,4,NA,313
2013,1,27,15,4,NA,320
2013,1,27,16,4,NA,288
2013,1,27,17,4,NA,300
2013,1,27,18,4,NA,314
2013,1,27,19,4,NA,317
2013,1,27,20,4,NA,329
2013,1,27,21,4,NA,306
2013,1,27,22,4,NA,318
2013,1,27,23,4,NA,340
2013,1,28,0,4,NA,359
2013,1,28,1,4,NA,362
2013,1,28,2,4,NA,369
2013,1,28,3,4,NA,364
2013,1,28,4,4,NA,364
2013,1,28,5,4,NA,357
2013,1,28,6,4,NA,362
2013,1,28,7,4,NA,369
2013,1,28,8,4,NA,348
2013,1,28,9,4,NA,348
2013,1,28,10,4,NA,357
2013,1,28,11,4,NA,367
2013,1,28,12,4,NA,384
2013,1,28,13,4,NA,394
2013,1,28,14,4,NA,409
2013,1,28,15,4,NA,496
2013,1,28,16,4,NA,490
2013,1,28,17,4,NA,459
2013,1,28,18,4,NA,446
2013,1,28,19,4,NA,444
2013,1,28,20,4,NA,443
2013,1,28,21,4,NA,444
2013,1,28,22,4,NA,510
2013,1,28,23,4,NA,508
2013,1,29,0,4,NA,490
2013,1,29,1,4,NA,472
2013,1,29,2,4,NA,451
2013,1,29,3,4,NA,448
2013,1,29,4,4,NA,NA
2013,1,29,5,4,NA,526
2013,1,29,6,4,NA,460
2013,1,29,7,4,NA,438
2013,1,29,8,4,NA,425
2013,1,29,9,4,NA,462
2013,1,29,10,4,NA,493
2013,1,29,11,4,NA,484
2013,1,29,12,4,NA,463
2013,1,29,13,4,NA,476
2013,1,29,14,4,NA,445
2013,1,29,15,4,NA,441
2013,1,29,16,4,NA,436
2013,1,29,17,4,NA,411
2013,1,29,18,4,NA,389
2013,1,29,19,4,NA,357
2013,1,29,20,4,NA,345
2013,1,29,21,4,NA,335
2013,1,29,22,4,NA,322
2013,1,29,23,4,NA,316
2013,1,30,0,4,NA,315
2013,1,30,1,4,NA,304
2013,1,30,2,4,NA,282
2013,1,30,3,4,NA,260
2013,1,30,4,4,NA,266
2013,1,30,5,4,NA,278
2013,1,30,6,4,NA,273
2013,1,30,7,4,NA,275
2013,1,30,8,4,NA,287
2013,1,30,9,4,NA,302
2013,1,30,10,4,NA,299
2013,1,30,11,4,NA,297
2013,1,30,12,4,NA,286
2013,1,30,13,4,NA,297
2013,1,30,14,4,NA,288
2013,1,30,15,4,NA,281
2013,1,30,16,4,NA,251
2013,1,30,17,4,NA,248
2013,1,30,18,4,NA,222
2013,1,30,19,4,NA,199
2013,1,30,20,4,NA,265
2013,1,30,21,4,NA,288
2013,1,30,22,4,NA,296
2013,1,30,23,4,NA,311
2013,1,31,0,4,NA,276
2013,1,31,1,4,NA,259
2013,1,31,2,4,NA,205
2013,1,31,3,4,NA,181
2013,1,31,4,4,NA,213
2013,1,31,5,4,NA,208
2013,1,31,6,4,NA,206
2013,1,31,7,4,NA,183
2013,1,31,8,4,NA,178
2013,1,31,9,4,NA,178
2013,1,31,10,4,NA,169
2013,1,31,11,4,NA,177
2013,1,31,12,4,NA,174
2013,1,31,13,4,NA,172
2013,1,31,14,4,NA,157
2013,1,31,15,4,NA,143
2013,1,31,16,4,NA,147
2013,1,31,17,4,NA,136
2013,1,31,18,4,NA,144
2013,1,31,19,4,NA,146
2013,1,31,20,4,NA,149
2013,1,31,21,4,NA,129
2013,1,31,22,4,NA,111
2013,1,31,23,4,NA,123
2013,2,1,0,4,NA,155
2013,2,1,1,4,NA,134
2013,2,1,2,4,NA,98
2013,2,1,3,4,NA,53
2013,2,1,4,4,NA,26
2013,2,1,5,4,NA,15
2013,2,1,6,4,NA,21
2013,2,1,7,4,NA,29
2013,2,1,8,4,NA,14
2013,2,1,9,4,NA,18
2013,2,1,10,4,NA,20
2013,2,1,11,4,NA,24
2013,2,1,12,4,NA,22
2013,2,1,13,4,NA,19
2013,2,1,14,4,NA,21
2013,2,1,15,4,NA,15
2013,2,1,16,4,NA,16
2013,2,1,17,4,NA,22
2013,2,1,18,4,NA,23
2013,2,1,19,4,NA,27
2013,2,1,20,4,NA,21
2013,2,1,21,4,NA,9
2013,2,1,22,4,NA,14
2013,2,1,23,4,NA,14
2013,2,2,0,4,NA,10
2013,2,2,1,4,NA,9
2013,2,2,2,4,NA,16
2013,2,2,3,4,NA,16
2013,2,2,4,4,NA,15
2013,2,2,5,4,NA,19
2013,2,2,6,4,NA,17
2013,2,2,7,4,NA,38
2013,2,2,8,4,NA,32
2013,2,2,9,4,NA,46
2013,2,2,10,4,NA,50
2013,2,2,11,4,NA,52
2013,2,2,12,4,NA,55
2013,2,2,13,4,NA,51
2013,2,2,14,4,NA,63
2013,2,2,15,4,NA,55
2013,2,2,16,4,NA,57
2013,2,2,17,4,NA,59
2013,2,2,18,4,NA,66
2013,2,2,19,4,NA,81
2013,2,2,20,4,NA,84
2013,2,2,21,4,NA,83
2013,2,2,22,4,NA,90
2013,2,2,23,4,NA,114
2013,2,3,0,4,NA,129
2013,2,3,1,4,NA,150
2013,2,3,2,4,NA,161
2013,2,3,3,4,NA,166
2013,2,3,4,4,NA,191
2013,2,3,5,4,NA,135
2013,2,3,6,4,NA,126
2013,2,3,7,4,NA,126
2013,2,3,8,4,NA,138
2013,2,3,9,4,NA,165
2013,2,3,10,4,NA,181
2013,2,3,11,4,NA,194
2013,2,3,12,4,NA,201
2013,2,3,13,4,NA,202
2013,2,3,14,4,NA,223
2013,2,3,15,4,NA,228
2013,2,3,16,4,NA,227
2013,2,3,17,4,NA,227
2013,2,3,18,4,NA,232
2013,2,3,19,4,NA,219
2013,2,3,20,4,NA,239
2013,2,3,21,4,NA,233
2013,2,3,22,4,NA,225
2013,2,3,23,4,NA,215
2013,2,4,0,4,NA,217
2013,2,4,1,4,NA,100
2013,2,4,2,4,NA,25
2013,2,4,3,4,NA,12
2013,2,4,4,4,NA,16
2013,2,4,5,4,NA,14
2013,2,4,6,4,NA,20
2013,2,4,7,4,NA,12
2013,2,4,8,4,NA,18
2013,2,4,9,4,NA,15
2013,2,4,10,4,NA,18
2013,2,4,11,4,NA,21
2013,2,4,12,4,NA,17
2013,2,4,13,4,NA,19
2013,2,4,14,4,NA,21
2013,2,4,15,4,NA,22
2013,2,4,16,4,NA,27
2013,2,4,17,4,NA,29
2013,2,4,18,4,NA,27
2013,2,4,19,4,NA,31
2013,2,4,20,4,NA,32
2013,2,4,21,4,NA,29
2013,2,4,22,4,NA,65
2013,2,4,23,4,NA,94
2013,2,5,0,4,NA,77
2013,2,5,1,4,NA,60
2013,2,5,2,4,NA,52
2013,2,5,3,4,NA,49
2013,2,5,4,4,NA,50
2013,2,5,5,4,NA,57
2013,2,5,6,4,NA,72
2013,2,5,7,4,NA,85
2013,2,5,8,4,NA,89
2013,2,5,9,4,NA,85
2013,2,5,10,4,NA,80
2013,2,5,11,4,NA,82
2013,2,5,12,4,NA,90
2013,2,5,13,4,NA,89
2013,2,5,14,4,NA,90
2013,2,5,15,4,NA,96
2013,2,5,16,4,NA,99
2013,2,5,17,4,NA,105
2013,2,5,18,4,NA,115
2013,2,5,19,4,NA,128
2013,2,5,20,4,NA,136
2013,2,5,21,4,NA,148
2013,2,5,22,4,NA,152
2013,2,5,23,4,NA,156
2013,2,6,0,4,NA,192
2013,2,6,1,4,NA,214
2013,2,6,2,4,NA,234
2013,2,6,3,4,NA,229
2013,2,6,4,4,NA,212
2013,2,6,5,4,NA,208
2013,2,6,6,4,NA,227
2013,2,6,7,4,NA,220
